GOOGLE,,
number,name,level
20,Valid Parentheses,Easy
66,Plus One,Easy
155,Min Stack,Easy
231,Power of Two,Easy
246,Strobogrammatic Number,Easy
249,Group Shifted Strings,Easy
257,Binary Tree Paths,Easy
266,Palindrome Permutation,Easy
270,Closest Binary Search Tree Value,Easy
276,Paint Fence,Easy
288,Unique Word Abbreviation,Easy
293,Flip Game,Easy
326,Power of Three,Easy
4,Median of Two Sorted Arrays,Hard
10,Regular Expression Matching,Hard
23,Merge k Sorted Lists,Hard
42,Trapping Rain Water,Hard
44,Wildcard Matching,Hard
56,Merge Intervals,Hard
57,Insert Interval,Hard
128,Longest Consecutive Sequence,Hard
140,Word Break II,Hard
146,LRU Cache,Hard
158,Read N Characters Given Read4 II – Call multiple times,Hard
159,Longest Substring with At Most Two Distinct Characters,Hard
212,Word Search II,Hard
214,Shortest Palindrome,Hard
218,The Skyline Problem,Hard
224,Basic Calculator,Hard
239,Sliding Window Maximum,Hard
269,Alien Dictionary,Hard
272,Closest Binary Search Tree Value II,Hard
282,Expression Add Operators,Hard
295,Find Median from Data Stream,Hard
297,Serialize and Deserialize Binary Tree,Hard
302,Smallest Rectangle Enclosing Black Pixels,Hard
305,Number of Islands II,Hard
308,Range Sum Query 2D – Mutable,Hard
312,Burst Balloons,Hard
315,Count of Smaller Numbers After Self,Hard
316,Remove Duplicate Letters,Hard
317,Shortest Distance from All Buildings,Hard
321,Create Maximum Number,Hard
327,Count of Range Sum,Hard
329,Longest Increasing Path in a Matrix,Hard
336,Palindrome Pairs,Hard
340,Longest Substring with At Most K Distinct Characters,Hard
17,Letter Combinations of a Phone Number,Medium
22,Generate Parentheses,Medium
31,Next Permutation,Medium
50,"Pow(x, n)",Medium
54,Spiral Matrix,Medium
133,Clone Graph,Medium
139,Word Break,Medium
162,Find Peak Element,Medium
163,Missing Ranges,Medium
166,Fraction to Recurring Decimal,Medium
173,Binary Search Tree Iterator,Medium
200,Number of Islands,Medium
208,Implement Trie (Prefix Tree),Medium
228,Summary Ranges,Medium
230,Kth Smallest Element in a BST,Medium
240,Search a 2D Matrix II,Medium
247,Strobogrammatic Number II,Medium
251,Flatten 2D Vector,Medium
253,Meeting Rooms II,Medium
259,3Sum Smaller,Medium
261,Graph Valid Tree,Medium
271,Encode and Decode Strings,Medium
274,H-Index,Medium
279,Perfect Squares,Medium
280,Wiggle Sort,Medium
281,Zigzag Iterator,Medium
284,Peeking Iterator,Medium
286,Walls and Gates,Medium
289,Game of Life,Medium
294,Flip Game II,Medium
298,Binary Tree Longest Consecutive Sequence,Medium
309,Best Time to Buy and Sell Stock with Cooldown,Medium
310,Minimum Height Trees,Medium
313,Super Ugly Number,Medium
314,Binary Tree Vertical Order Traversal,Medium
318,Maximum Product of Word Lengths,Medium
320,Generalized Abbreviation,Medium
323,Number of Connected Components in an Undirected Graph,Medium
324,Wiggle Sort II,Medium
330,Patching Array,Medium
331,Verify Preorder Serialization of a Binary Tree,Medium
332,Reconstruct Itinerary,Medium
341,Flatten Nested List Iterator,Medium
